total_params,log_total_params,model_size_mb,log_model_size_mb,num_layers,num_hidden_layers,num_conv_layers,max_width,log_max_width,min_width,avg_width,base_channels,model_type_encoded,cnn_has_pooling,cnn_has_batchnorm,cnn_num_fc_layers,cnn_kernel_size,device_encoded,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,input_channels,input_height,input_width,num_classes,batch_size,dataset_encoded,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
133386,11.801009956440614,0.5088272094726562,0.4113326665842998,6.0,5,0.0,256.0,5.54907608489522,64.0,128.0,0.0,0,0.0,0.0,1.0,0.0,0,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.082707405090332,3.006093740463257,cpu,MNIST
133386,11.801009956440614,0.5088272094726562,0.4113326665842998,6.0,5,0.0,256.0,5.54907608489522,64.0,128.0,0.0,0,0.0,0.0,1.0,0.0,1,8,3.2,12.0,8.0,8.0,1,28,28,10,64,0,0.8117437362670898,6.071094036102295,mps,MNIST
1059402,13.873216099880134,4.041297912597656,1.6176635712708958,2.0,0,2.0,16.0,2.833213344056216,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,6.105184555053711,20.330652236938477,cpu,CIFAR-10
1059402,13.873216099880134,4.041297912597656,1.6176635712708958,2.0,0,2.0,16.0,2.833213344056216,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,2.0458221435546875,11.71966791152954,mps,CIFAR-10
2122378,14.568048187297613,8.096229553222656,2.207859992851722,2.0,0,2.0,32.0,3.4965075614664802,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,10.67814826965332,29.95431399345398,cpu,CIFAR-10
2122378,14.568048187297613,8.096229553222656,2.207859992851722,2.0,0,2.0,32.0,3.4965075614664802,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,2.4849891662597656,13.70283269882202,mps,CIFAR-10
4275978,15.268523639983114,16.311561584472656,2.8513745779714452,2.0,0,2.0,64.0,4.174387269895637,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,32.91428089141846,68.24345088005066,cpu,CIFAR-10
4275978,15.268523639983114,16.311561584472656,2.8513745779714452,2.0,0,2.0,64.0,4.174387269895637,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,5.414605140686035,33.096678018569946,mps,CIFAR-10
553738,13.22444873558436,2.1123428344726562,1.135375765567369,3.0,0,3.0,16.0,2.833213344056216,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,7.67977237701416,22.65881609916687,cpu,CIFAR-10
553738,13.22444873558436,2.1123428344726562,1.135375765567369,3.0,0,3.0,16.0,2.833213344056216,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,2.354264259338379,11.001394987106323,mps,CIFAR-10
1147914,13.953457811308573,4.378944396972656,1.6824921461810978,3.0,0,3.0,32.0,3.4965075614664802,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,16.965508460998535,38.64148020744324,cpu,CIFAR-10
1147914,13.953457811308573,4.378944396972656,1.6824921461810978,3.0,0,3.0,32.0,3.4965075614664802,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,3.4720420837402344,15.71247100830078,mps,CIFAR-10
2474506,14.72155174222439,9.439491271972656,2.345595852528958,3.0,0,3.0,64.0,4.174387269895637,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,44.158101081848145,83.38593101501465,cpu,CIFAR-10
2474506,14.72155174222439,9.439491271972656,2.345595852528958,3.0,0,3.0,64.0,4.174387269895637,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,9.552526473999023,39.11587572097778,mps,CIFAR-10
365706,12.809587745326988,1.3950576782226562,0.8734073133380944,4.0,0,4.0,16.0,2.833213344056216,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,9.120607376098633,33.28469514846802,cpu,CIFAR-10
365706,12.809587745326988,1.3950576782226562,0.8734073133380944,4.0,0,4.0,16.0,2.833213344056216,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,3.0997753143310547,19.178067207336422,mps,CIFAR-10
919306,13.731375404312141,3.5068740844726562,1.5056038055486984,4.0,0,4.0,32.0,3.4965075614664802,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,23.911643028259277,47.35413026809693,cpu,CIFAR-10
919306,13.731375404312141,3.5068740844726562,1.5056038055486984,4.0,0,4.0,32.0,3.4965075614664802,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,4.287242889404297,18.63779091835022,mps,CIFAR-10
2607114,14.77375480394887,9.945350646972656,2.392914767645078,4.0,0,4.0,64.0,4.174387269895637,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,95.77319622039796,149.0283761024475,cpu,CIFAR-10
2607114,14.77375480394887,9.945350646972656,2.392914767645078,4.0,0,4.0,64.0,4.174387269895637,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,9.87417697906494,42.49907875061035,mps,CIFAR-10
11173962,16.22909689773747,42.625282287597656,3.7756368512775333,17.0,0,17.0,64.0,4.174387269895637,64.0,64.0,64.0,2,1.0,1.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,799.1309881210327,1182.9114470481873,cpu,CIFAR-10
11173962,16.22909689773747,42.625282287597656,3.7756368512775333,17.0,0,17.0,64.0,4.174387269895637,64.0,64.0,64.0,2,1.0,1.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,80.09843826293945,263.57340383529663,mps,CIFAR-10
2236682,14.620504522786623,8.532264709472656,2.2546823294628022,52.0,0,52.0,32.0,3.4965075614664802,32.0,32.0,32.0,3,1.0,1.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,507.9123735427856,6332.892668962479,cpu,CIFAR-10
2236682,14.620504522786623,8.532264709472656,2.2546823294628022,52.0,0,52.0,32.0,3.4965075614664802,32.0,32.0,32.0,3,1.0,1.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,16.147565841674805,57.42293095588684,mps,CIFAR-10
