model_idx,config,num_layers,total_params,device,inference_time_mean_ms,inference_time_std_ms,training_time_mean_sec,training_time_std_sec
16,"[32, 32, 32]",4,27562,mps,0.5687713623046875,0.0184657305870955,5.39835000038147,0.0
17,[1024],2,814090,cpu,0.2066612243652343,0.003560029307352,3.912871837615967,0.0
17,[1024],2,814090,mps,0.6625652313232422,0.0116605942350745,5.918576002120972,0.0
18,"[1024, 1024]",3,1863690,cpu,0.5005121231079102,0.0291460350177798,5.901448965072632,0.0
18,"[1024, 1024]",3,1863690,mps,1.0643243789672852,0.023896500436248,7.820329189300537,0.0
19,"[64, 64, 64, 64]",5,63370,cpu,0.0506877899169921,0.0012669878249727,2.806602001190185,0.0
19,"[64, 64, 64, 64]",5,63370,mps,1.0169029235839844,0.7492380138030053,6.642834186553955,0.0
20,"[128, 128, 128, 128]",5,151306,cpu,0.0715494155883789,0.0004821717361487,2.9674649238586426,0.0
20,"[128, 128, 128, 128]",5,151306,mps,0.7218122482299805,0.0274372552474216,5.8031840324401855,0.0
21,"[256, 256, 256, 256]",5,400906,cpu,0.1222848892211914,0.0009622781787209,3.577953100204468,0.0
21,"[256, 256, 256, 256]",5,400906,mps,0.914454460144043,0.1394743083877391,6.167559146881104,0.0
22,"[512, 256, 128]",4,567434,cpu,0.1522302627563476,0.0177067332740857,4.347765922546387,0.0
22,"[512, 256, 128]",4,567434,mps,0.786590576171875,0.0298068615317665,5.932609081268311,0.0
23,"[128, 256, 512]",4,270218,cpu,0.1024246215820312,0.0103321931049197,3.2479982376098637,0.0
23,"[128, 256, 512]",4,270218,mps,0.6379604339599609,0.0109469183748487,6.024292945861816,0.0
24,"[512, 512, 512]",4,932362,cpu,0.2132177352905273,0.0090234739214124,4.517401933670044,0.0
24,"[512, 512, 512]",4,932362,mps,0.8643388748168945,0.0267452198101796,7.1587629318237305,0.0
25,"[64, 128, 256, 128, 64]",6,133386,cpu,0.082707405090332,0.0012084318063234,3.006093740463257,0.0
25,"[64, 128, 256, 128, 64]",6,133386,mps,0.8117437362670898,0.0336530252495876,6.071094036102295,0.0
26,"[64, 64, 64, 64, 64]",6,67530,cpu,0.18978118896484375,0.013825810968804874,12.588012218475342,0.0
27,"[128, 128, 128, 128, 128]",6,167818,cpu,0.20973682403564453,0.015211796670109875,11.80772614479065,0.0
28,"[256, 256, 256, 256, 256]",6,466698,cpu,0.34351348876953125,0.02848135213535854,12.101603269577026,0.0
29,"[64, 256, 64]",4,83978,cpu,0.13644695281982422,0.0038768503170726423,10.672309160232544,0.0
30,"[256, 64, 256]",4,236618,cpu,0.21398067474365234,0.03805555625470863,10.85880994796753,0.0
31,"[128, 512, 128]",4,233482,cpu,0.21753311157226562,0.036407102531416526,10.995527505874634,0.0
32,"[512, 128, 512]",4,538762,cpu,0.3213167190551758,0.022734196050975708,11.847430944442749,0.0
33,"[64, 256, 512, 256, 64]",6,346890,cpu,0.33943653106689453,0.013539173740539793,11.94249939918518,0.0
34,"[128, 256, 512, 256, 128]",6,430602,cpu,0.3515481948852539,0.01755811607264997,12.268975019454956,0.0
35,"[96, 192, 384]",4,171946,cpu,0.1554250717163086,0.0052130864296656065,10.750702857971191,0.0
36,"[384, 192, 96]",4,394858,cpu,0.2845287322998047,0.01588669422752078,11.378413677215576,0.0
37,"[192, 384, 192]",4,300682,cpu,0.22072792053222656,0.008238940287853923,11.147268295288086,0.0
38,"[320, 640]",3,463050,cpu,0.2524137496948242,0.004879199960351595,11.3051438331604,0.0
39,"[640, 320]",3,710730,cpu,0.34787654876708984,0.033942374578261464,11.876619100570679,0.0
40,"[320, 320, 320]",4,459850,cpu,0.3015756607055664,0.019453392830857057,11.423862218856812,0.0
41,"[160, 320, 640, 320]",5,590890,cpu,0.4183053970336914,0.029841445039480937,12.199021339416504,0.0
