total_params,trainable_params,linear_params,flops,model_size_mb,num_layers,model_type,hidden_size,num_hidden_layers,conv_params,num_conv_layers,num_filters,has_batchnorm,has_pooling,kernel_size,num_fc_layers,device,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,batch_size,input_channels,input_height,input_width,num_classes,train_time_mean,train_time_std,infer_time_mean,infer_time_std
25258,25258,15690,4095616,0.0964,3,1,0,0,9568,2,32,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,10.15278,0.00471,0.49026,0.00058
25386,25386,15690,4095616,0.0968,5,1,0,0,9568,2,32,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,13.04655,0.00045,0.61174,0.00066
21706,21706,2890,4973184,0.0828,4,1,0,0,18816,3,32,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,11.21653,0.00707,0.51762,0.00028
21898,21898,2890,4973184,0.0835,7,1,0,0,18816,3,32,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,14.28241,0.00123,0.64388,0.0004
28394,28394,330,5133952,0.1083,5,1,0,0,28064,4,32,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,11.81098,0.05515,0.53437,0.00137
28650,28650,330,5133952,0.1093,9,1,0,0,28064,4,32,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,14.85988,0.00744,0.66459,0.00033
37642,37642,330,5152384,0.1436,6,1,0,0,37312,5,32,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,12.05982,0.00128,0.5448,0.00016
37962,37962,330,5152384,0.1448,11,1,0,0,37312,5,32,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,15.26114,0.00367,0.67959,0.00027
46890,46890,330,5170816,0.1789,7,1,0,0,46560,6,32,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,12.335,0.00236,0.55564,0.00058
47274,47274,330,5170816,0.1803,13,1,0,0,46560,6,32,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,15.71581,0.09844,0.72751,0.02793
126090,126090,125450,1154048,0.481,2,1,0,0,640,1,64,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,12.93014,0.00206,0.72198,0.00021
126218,126218,125450,1154048,0.4815,3,1,0,0,640,1,64,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,17.48805,0.05598,0.92952,0.02933
68938,68938,31370,15416576,0.263,3,1,0,0,37568,2,64,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,21.07935,0.13907,1.18768,0.00055
69194,69194,31370,15416576,0.264,5,1,0,0,37568,2,64,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,27.29466,0.17067,1.45593,0.02988
80266,80266,5770,18978048,0.3062,4,1,0,0,74496,3,64,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,23.60622,0.03321,1.31087,0.00692
80650,80650,5770,18978048,0.3077,7,1,0,0,74496,3,64,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,29.63452,0.02412,1.57145,0.00111
112074,112074,650,19631360,0.4275,5,1,0,0,111424,4,64,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,24.38108,0.03685,1.33875,0.00034
112586,112586,650,19631360,0.4295,9,1,0,0,111424,4,64,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,30.63321,0.02562,1.60498,0.00051
149002,149002,650,19705088,0.5684,6,1,0,0,148352,5,64,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,24.95087,0.01069,1.35778,0.00031
149642,149642,650,19705088,0.5708,11,1,0,0,148352,5,64,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,31.26121,0.01044,1.62846,0.00023
185930,185930,650,19778816,0.7093,7,1,0,0,185280,6,64,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,25.53843,0.01432,1.37153,0.00048
186698,186698,650,19778816,0.7122,13,1,0,0,185280,6,64,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,31.92764,0.00567,1.65412,0.00033
252170,252170,250890,2308096,0.962,2,1,0,0,1280,1,128,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,25.08849,0.09815,1.41932,0.00069
252426,252426,250890,2308096,0.9629,3,1,0,0,1280,1,128,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,33.89158,0.00087,1.79196,0.00014
211594,211594,62730,59734528,0.8072,3,1,0,0,148864,2,128,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,42.64524,0.08815,2.42097,0.00023
212106,212106,62730,59734528,0.8091,5,1,0,0,148864,2,128,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,54.23364,0.0028,2.8963,0.00023
307978,307978,11530,74082816,1.1748,4,1,0,0,296448,3,128,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,46.44454,2.38268,2.65782,0.00427
308746,308746,11530,74082816,1.1778,7,1,0,0,296448,3,128,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,58.46343,1.77561,3.15966,0.00012
445322,445322,1290,76716544,1.6988,5,1,0,0,444032,4,128,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,50.42264,0.0097,2.75178,0.00029
446346,446346,1290,76716544,1.7027,9,1,0,0,444032,4,128,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,62.50682,0.00061,3.27597,0.00025
592906,592906,1290,77011456,2.2618,6,1,0,0,591616,5,128,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,52.45637,0.07923,2.83733,0.0009
594186,594186,1290,77011456,2.2666,11,1,0,0,591616,5,128,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,54.72081,12.98314,2.60716,1.11725
740490,740490,1290,77306368,2.8247,7,1,0,0,739200,6,128,0,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,54.05825,0.15404,2.96612,0.05439
742026,742026,1290,77306368,2.8306,13,1,0,0,739200,6,128,1,1,3,1,cuda,12,2.9,1.5,15.9,4.0,64,1,28,28,10,67.1237,0.32962,3.54953,0.09402
