target,rank,feature,importance,device
학습시간 [CUDA] - RandomForest,20,input_height,0.0,CUDA
학습시간 [CUDA] - RandomForest,21,input_width,0.0,CUDA
학습시간 [CUDA] - RandomForest,22,num_classes,0.0,CUDA
학습시간 [CUDA] - RandomForest,23,cpu_cache_l2_mb,0.0,CUDA
학습시간 [CUDA] - RandomForest,24,ram_total_gb,0.0,CUDA
학습시간 [CUDA] - RandomForest,25,gpu_memory_gb,0.0,CUDA
학습시간 [CUDA] - RandomForest,26,batch_size,0.0,CUDA
학습시간 [CUDA] - RandomForest,27,input_channels,0.0,CUDA
학습시간 [CUDA] - XGBoost,1,flops,0.365798,CUDA
학습시간 [CUDA] - XGBoost,2,num_filters,0.327406,CUDA
학습시간 [CUDA] - XGBoost,3,conv_params,0.256919,CUDA
학습시간 [CUDA] - XGBoost,4,model_type,0.021628,CUDA
학습시간 [CUDA] - XGBoost,5,has_batchnorm,0.01217,CUDA
학습시간 [CUDA] - XGBoost,6,num_layers,0.008697,CUDA
학습시간 [CUDA] - XGBoost,7,total_params,0.005573,CUDA
학습시간 [CUDA] - XGBoost,8,num_conv_layers,0.000777,CUDA
학습시간 [CUDA] - XGBoost,9,hidden_size,0.000413,CUDA
학습시간 [CUDA] - XGBoost,10,linear_params,0.000367,CUDA
학습시간 [CUDA] - XGBoost,11,num_hidden_layers,0.000251,CUDA
학습시간 [CUDA] - XGBoost,12,device,0.0,CUDA
학습시간 [CUDA] - XGBoost,13,cpu_cores,0.0,CUDA
학습시간 [CUDA] - XGBoost,14,cpu_freq_ghz,0.0,CUDA
학습시간 [CUDA] - XGBoost,15,cpu_cache_l2_mb,0.0,CUDA
학습시간 [CUDA] - XGBoost,16,ram_total_gb,0.0,CUDA
학습시간 [CUDA] - XGBoost,17,gpu_memory_gb,0.0,CUDA
학습시간 [CUDA] - XGBoost,18,batch_size,0.0,CUDA
학습시간 [CUDA] - XGBoost,19,input_channels,0.0,CUDA
학습시간 [CUDA] - XGBoost,20,input_height,0.0,CUDA
학습시간 [CUDA] - XGBoost,21,input_width,0.0,CUDA
학습시간 [CUDA] - XGBoost,22,num_classes,0.0,CUDA
학습시간 [CUDA] - XGBoost,23,has_pooling,0.0,CUDA
학습시간 [CUDA] - XGBoost,24,kernel_size,0.0,CUDA
학습시간 [CUDA] - XGBoost,25,num_fc_layers,0.0,CUDA
학습시간 [CUDA] - XGBoost,26,model_size_mb,0.0,CUDA
학습시간 [CUDA] - XGBoost,27,trainable_params,0.0,CUDA
추론시간 [CUDA] - RandomForest,1,num_filters,0.783017,CUDA
추론시간 [CUDA] - RandomForest,2,flops,0.154977,CUDA
추론시간 [CUDA] - RandomForest,3,conv_params,0.032119,CUDA
추론시간 [CUDA] - RandomForest,4,total_params,0.006545,CUDA
추론시간 [CUDA] - RandomForest,5,model_size_mb,0.005295,CUDA
추론시간 [CUDA] - RandomForest,6,trainable_params,0.004637,CUDA
추론시간 [CUDA] - RandomForest,7,num_layers,0.004488,CUDA
추론시간 [CUDA] - RandomForest,8,has_batchnorm,0.002773,CUDA
추론시간 [CUDA] - RandomForest,9,linear_params,0.002229,CUDA
추론시간 [CUDA] - RandomForest,10,num_hidden_layers,0.001098,CUDA
추론시간 [CUDA] - RandomForest,11,num_conv_layers,0.00092,CUDA
추론시간 [CUDA] - RandomForest,12,kernel_size,0.000459,CUDA
추론시간 [CUDA] - RandomForest,13,hidden_size,0.000449,CUDA
추론시간 [CUDA] - RandomForest,14,model_type,0.000399,CUDA
추론시간 [CUDA] - RandomForest,15,num_fc_layers,0.000313,CUDA
추론시간 [CUDA] - RandomForest,16,has_pooling,0.000282,CUDA
추론시간 [CUDA] - RandomForest,17,device,0.0,CUDA
추론시간 [CUDA] - RandomForest,18,cpu_freq_ghz,0.0,CUDA
추론시간 [CUDA] - RandomForest,19,cpu_cores,0.0,CUDA
추론시간 [CUDA] - RandomForest,20,input_height,0.0,CUDA
추론시간 [CUDA] - RandomForest,21,input_width,0.0,CUDA
추론시간 [CUDA] - RandomForest,22,num_classes,0.0,CUDA
추론시간 [CUDA] - RandomForest,23,cpu_cache_l2_mb,0.0,CUDA
추론시간 [CUDA] - RandomForest,24,ram_total_gb,0.0,CUDA
추론시간 [CUDA] - RandomForest,25,gpu_memory_gb,0.0,CUDA
추론시간 [CUDA] - RandomForest,26,batch_size,0.0,CUDA
추론시간 [CUDA] - RandomForest,27,input_channels,0.0,CUDA
추론시간 [CUDA] - XGBoost,1,num_filters,0.934641,CUDA
추론시간 [CUDA] - XGBoost,2,conv_params,0.038043,CUDA
추론시간 [CUDA] - XGBoost,3,flops,0.014408,CUDA
추론시간 [CUDA] - XGBoost,4,has_batchnorm,0.004288,CUDA
추론시간 [CUDA] - XGBoost,5,model_type,0.004129,CUDA
추론시간 [CUDA] - XGBoost,6,total_params,0.002724,CUDA
추론시간 [CUDA] - XGBoost,7,num_layers,0.001615,CUDA
추론시간 [CUDA] - XGBoost,8,linear_params,4.5e-05,CUDA
추론시간 [CUDA] - XGBoost,9,hidden_size,4e-05,CUDA
추론시간 [CUDA] - XGBoost,10,num_hidden_layers,3.8e-05,CUDA
추론시간 [CUDA] - XGBoost,11,num_conv_layers,3e-05,CUDA
추론시간 [CUDA] - XGBoost,12,device,0.0,CUDA
추론시간 [CUDA] - XGBoost,13,cpu_cores,0.0,CUDA
추론시간 [CUDA] - XGBoost,14,cpu_freq_ghz,0.0,CUDA
추론시간 [CUDA] - XGBoost,15,cpu_cache_l2_mb,0.0,CUDA
추론시간 [CUDA] - XGBoost,16,ram_total_gb,0.0,CUDA
추론시간 [CUDA] - XGBoost,17,gpu_memory_gb,0.0,CUDA
추론시간 [CUDA] - XGBoost,18,batch_size,0.0,CUDA
추론시간 [CUDA] - XGBoost,19,input_channels,0.0,CUDA
추론시간 [CUDA] - XGBoost,20,input_height,0.0,CUDA
추론시간 [CUDA] - XGBoost,21,input_width,0.0,CUDA
추론시간 [CUDA] - XGBoost,22,num_classes,0.0,CUDA
추론시간 [CUDA] - XGBoost,23,has_pooling,0.0,CUDA
추론시간 [CUDA] - XGBoost,24,kernel_size,0.0,CUDA
추론시간 [CUDA] - XGBoost,25,num_fc_layers,0.0,CUDA
추론시간 [CUDA] - XGBoost,26,model_size_mb,0.0,CUDA
추론시간 [CUDA] - XGBoost,27,trainable_params,0.0,CUDA
