total_params,log_total_params,trainable_params,model_size_mb,log_model_size_mb,total_layers,num_hidden_layers,num_linear_layers,num_conv_layers,max_width,log_max_width,min_width,avg_width,base_channels,model_family_encoded,has_pooling,has_batch_norm,cnn_num_fc_layers,cnn_kernel_size,flops,has_residual,has_depthwise,has_attention,has_cls_token,num_blocks,num_mult_adds,activation_memory_mb,first_layer_width,last_layer_width,is_sequential,has_skip_connection,max_channels,min_channels,ann_max_hidden,ann_min_hidden,ann_avg_hidden,cnn_num_filters,cnn_max_channels,cnn_has_residual,cnn_has_depthwise,embed_dim,num_heads,patch_size,ffn_dim,vit_has_cls_token,latent_dim,generator_params,discriminator_params,ann_num_layers,cnn_stem_channels,vit_num_encoder_layers,input_height,input_width,input_channels,num_classes,batch_size,dataset_encoded,input_pixels,seq_length,device_type,os_type,accelerator_brand,accelerator_name,cpu_cores_physical,cpu_cores_logical,cpu_perf_cores,cpu_efficiency_cores,cpu_freq_base_ghz,cpu_freq_boost_ghz,cpu_cache_l2_mb,cpu_cache_l3_mb,ram_total_gb,memory_type,memory_bandwidth_gbs,is_unified_memory,shared_memory_gb,dedicated_vram_gb,gpu_count,gpu_memory_gb,gpu_core_count,peak_bandwidth_gbs,tflops_fp32,tflops_fp16,fp16_support,bf16_support,interconnect_type,host_to_device_bandwidth_gbs,is_discrete_gpu,is_integrated_gpu,device_encoded,cpu_freq_ghz,memory_channels,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
335114,12.722229035480966,335114,1.2783584594726562,0.8234552097451585,3,3,3,0,256,5.54907608489522,256.0,256.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,256,256,256.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.1067876815795898,3.3574979305267334,cpu,MNIST
335114,12.722229035480966,335114,1.2783584594726562,0.8234552097451585,3,3,3,0,256,5.54907608489522,256.0,256.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,256,256,256.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.6317377090454102,5.154468059539795,mps,MNIST
167690,12.02987827910819,167690,0.6396865844726562,0.4945051165439638,3,3,3,0,256,5.54907608489522,128.0,170.66666666666666,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,256,128,170.66666666666666,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0674009323120117,2.9009130001068115,cpu,MNIST
167690,12.02987827910819,167690,0.6396865844726562,0.4945051165439638,3,3,3,0,256,5.54907608489522,128.0,170.66666666666666,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,128,128,1,0.0,0,0,256,128,170.66666666666666,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.8152961730957031,5.057845115661621,mps,MNIST
67466,11.119393868426595,67466,0.25736236572265625,0.22901616628402077,3,3,3,0,128,4.859812404361672,64.0,85.33333333333333,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,128,64,85.33333333333333,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.045323371887207,2.8436107635498047,cpu,MNIST
67466,11.119393868426595,67466,0.25736236572265625,0.22901616628402077,3,3,3,0,128,4.859812404361672,64.0,85.33333333333333,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,64,64,1,0.0,0,0,128,64,85.33333333333333,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.635981559753418,6.100062847137451,mps,MNIST
466442,13.05289110530898,466442,1.7793350219726562,1.022211698360228,3,3,3,0,512,6.240275845170769,256.0,341.3333333333333,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,512,256,341.3333333333333,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.1272201538085937,3.729381799697876,cpu,MNIST
466442,13.05289110530898,466442,1.7793350219726562,1.022211698360228,3,3,3,0,512,6.240275845170769,256.0,341.3333333333333,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,256,256,1,0.0,0,0,512,256,341.3333333333333,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.6751298904418945,5.580519914627075,mps,MNIST
25450,10.144510313937575,25450,0.09708404541015625,0.09265579222362995,1,1,1,0,32,3.4965075614664802,32.0,32.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,32,32,1,0.0,0,0,32,32,32.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3,0.0,0.0256061553955078,2.6108460426330566,cpu,MNIST
25450,10.144510313937575,25450,0.09708404541015625,0.09265579222362995,1,1,1,0,32,3.4965075614664802,32.0,32.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,32,32,1,0.0,0,0,32,32,32.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0.0,0,28,28,1,10,64,0,784,0,1.0,1.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,2.3,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,0.0,0.4146099090576172,4.714473247528076,mps,MNIST
