total_params,model_size_mb,num_layers,num_hidden_layers,num_conv_layers,max_width,min_width,avg_width,base_channels,model_type_encoded,cnn_has_pooling,cnn_has_batchnorm,cnn_num_fc_layers,cnn_kernel_size,device_encoded,cpu_cores,cpu_freq_ghz,cpu_cache_l2_mb,ram_total_gb,gpu_memory_gb,input_channels,input_height,input_width,num_classes,batch_size,dataset_encoded,inference_time_mean_ms,training_time_mean_sec,device,dataset_name
2474506,9.439491271972656,3.0,0,3.0,64.0,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,44.158101081848145,83.38593101501465,cpu,CIFAR-10
2474506,9.439491271972656,3.0,0,3.0,64.0,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,9.552526473999023,39.11587572097778,mps,CIFAR-10
365706,1.3950576782226562,4.0,0,4.0,16.0,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,9.120607376098633,33.28469514846802,cpu,CIFAR-10
365706,1.3950576782226562,4.0,0,4.0,16.0,16.0,16.0,16.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,3.0997753143310547,19.178067207336422,mps,CIFAR-10
919306,3.5068740844726562,4.0,0,4.0,32.0,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,23.911643028259277,47.35413026809693,cpu,CIFAR-10
919306,3.5068740844726562,4.0,0,4.0,32.0,32.0,32.0,32.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,4.287242889404297,18.63779091835022,mps,CIFAR-10
2607114,9.945350646972656,4.0,0,4.0,64.0,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,95.77319622039796,149.0283761024475,cpu,CIFAR-10
2607114,9.945350646972656,4.0,0,4.0,64.0,64.0,64.0,64.0,1,1.0,0.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,9.87417697906494,42.49907875061035,mps,CIFAR-10
11173962,42.625282287597656,17.0,0,17.0,64.0,64.0,64.0,64.0,2,1.0,1.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,799.1309881210327,1182.9114470481873,cpu,CIFAR-10
11173962,42.625282287597656,17.0,0,17.0,64.0,64.0,64.0,64.0,2,1.0,1.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,80.09843826293945,263.57340383529663,mps,CIFAR-10
2236682,8.532264709472656,52.0,0,52.0,32.0,32.0,32.0,32.0,3,1.0,1.0,1.0,3.0,0,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,507.9123735427856,6332.892668962479,cpu,CIFAR-10
2236682,8.532264709472656,52.0,0,52.0,32.0,32.0,32.0,32.0,3,1.0,1.0,1.0,3.0,1,8,3.2,12.0,8.0,8.0,3,32,32,10,64,1,16.147565841674805,57.42293095588684,mps,CIFAR-10
